Name,Category,Price,Quality
DutyStrange,Cartas,14256,94
AgeKnights,Casual,35962,55
SpaceDark,Deportes,22259,82
DutyDuty,Casual,7848,26
ARKLife,Casual,25915,65
SniperDragon,Acción,39776,41
SpeedStrange,Mundo Abierto,27155,63
ControlRunner,Estrategia,36113,75
TaleMeat,Estrategia,56922,39
ARKSpace,Multijugador,9318,95
AgeCombat,Cooperativo,48477,20
DyingAge,Terror,8671,60
MetroMafia,Supervivencia,19347,30
HeistPlants,Comedia,66833,65
BeyondMeat,Deportes,38298,27
MedalARK,Terror,35111,31
DutyMeat,Casual,8957,86
LeftEmpire,Cartas,27565,21
EmpireCombat,Narración,57716,24
GalaxyDragon,Deportes,53712,80
SaintsGrand,Simulación,39601,36
SpeedMetro,Casual,5088,69
EscapeLeft,Simulación,43242,46
EscapeStrange,Cartas,26165,6
TheftHonor,Rompecabezas,34591,16
WarriorFloor,Comedia,64122,45
GardenRunner,Rompecabezas,14165,84
HellFloor,RPG,18008,9
StrangeQuest,Acción,48320,42
LeftLegend,Mundo Abierto,25943,92
EscapeLegend,Indie,6238,40
MedalLeft,Cartas,47737,62
LegendSpeed,Cartas,53988,26
StrangeMedal,Estrategia,32331,86
SpeedCombat,Narración,22286,9
AgeBrutal,Narración,7650,61
WarriorDuty,Simulación,53779,22
TheftHonor,Comedia,18455,18
RowDying,Deportes,5451,55
LeftMortal,Mundo Abierto,46632,2
PlantsGalaxy,Comedia,3891,13
SaintsStrike,Cartas,52238,52
RotCombat,Disparos,28324,4
TaleCombat,Casual,44602,61
SpeedTheft,Narración,27764,32
WarriorGalaxy,Aventura,66227,56
MortalKnights,Casual,20117,79
LegendLife,Exploración,22287,77
DutyCounter,Aventura,4956,23
WarGalaxy,Rompecabezas,37949,71
WarriorMortal,RPG,25007,0
CounterBeyond,Simulación,47400,41
ARKHeist,Mundo Abierto,63060,46
GalaxyCombat,Indie,36570,59
RotKnights,Indie,29783,95
GalaxyMetro,Mundo Abierto,40907,41
MedalEscape,Simulación,2554,59
StrikeAge,Simulación,22264,45
GalaxyStrike,Plataformas,46243,28
TaleMafia,Acción,24185,74
LegendBeyond,Disparos,17917,8
KillingEvil,Deportes,4900,19
DeadControl,Plataformas,32648,25
LeftMedal,Cartas,50735,54
RoyaleWarrior,Rompecabezas,55155,38
GardenSpeed,Comedia,39417,95
PlantsRoyale,Casual,68287,35
EvilGarden,Estrategia,47140,27
MeatFloor,Deportes,34676,78
WarTale,Cartas,42326,27
LeftGarden,Supervivencia,42912,88
RunnerMedal,Disparos,40005,35
ThunderHonor,Cartas,55758,30
LegendRot,Indie,18171,19
DragonHonor,Cooperativo,53067,78
GardenBrutal,Estrategia,49552,73
CompanySniper,Aventura,66832,30
GalaxyLeft,Cartas,47949,9
LegendBrutal,Narración,25146,94
MetroThunder,Disparos,8156,87
WarDead,Aventura,15143,71
DeadSniper,Aventura,61419,1
DeadARK,Aventura,19573,71
GalaxyCombat,Exploración,21464,31
WarTale,Cartas,46316,29
ThunderTale,Aventura,13178,17
HeistAge,Indie,31665,67
RoyaleLife,Cartas,57812,55
HonorMedal,Comedia,2151,37
HonorLife,Mundo Abierto,18527,90
ControlWar,Multijugador,3903,27
CounterCompany,Casual,50016,44
ThunderMedal,Exploración,11511,62
LeftDuty,Disparos,17288,54
SpeedAge,Casual,44112,33
DutyThunder,Deportes,35643,39
MafiaCombat,Acción,17597,60
LeftDying,Disparos,10623,32
LeftHonor,Acción,32926,1
BattleWar,Aventura,31483,30
GalaxyDuty,Indie,58149,94
CombatSniper,Terror,66496,36
KillingSpeed,Comedia,48187,89
EmpireKilling,Narración,7592,100
LightEmpire,Multijugador,56936,95
CounterHonor,Exploración,31571,95
KillingGalaxy,Comedia,67677,15
KillingWarrior,Simulación,15008,29
KillingCombat,Comedia,55184,67
KnightsRunner,Casual,43766,56
CounterSpace,Multijugador,63645,33
WarMeat,Multijugador,26767,0
PlantsFloor,Simulación,48645,83
HonorTale,Rompecabezas,21072,39
LightTheft,Indie,25970,11
SpaceBattle,Cartas,19347,55
HonorWarrior,Disparos,34433,11
MedalDying,Plataformas,24255,50
QuestDuty,Plataformas,44398,85
GalaxyLegends,Casual,12791,90
TalePlants,Disparos,35460,71
WarriorLife,Simulación,65086,24
SpaceEmpire,Multijugador,60430,72
BeyondBeyond,Cartas,6503,89
KnightsMetro,Supervivencia,45105,10
MafiaGalaxy,RPG,57976,95
CounterSpeed,Rompecabezas,62883,4
MetroWar,Multijugador,30190,78
LegendsLife,Multijugador,28311,58
LifeSaints,Disparos,66592,61
SaintsGalaxy,Multijugador,35132,58
DutyDuty,Cartas,10911,52
LeftLight,Terror,34992,4
MetroLeft,Narración,27914,29
RowCombat,Casual,32435,59
RoyaleDuty,Mundo Abierto,44993,98
EscapeDead,Cartas,33235,47
RotMedal,Multijugador,8924,57
CombatWarrior,Aventura,32985,88
BeyondBrutal,RPG,43092,5
LeftWar,Casual,43114,89
ARKWar,Casual,7594,92
SpeedBattle,Casual,59582,34
BattleFloor,Mundo Abierto,5224,33
GalaxyGalaxy,Casual,32098,83
FloorEscape,RPG,38607,80
MortalGrand,Rompecabezas,37163,28
MedalSpeed,Aventura,31323,21
ArmaCombat,Mundo Abierto,8341,23
LegendsHeist,Disparos,14619,3
AgeMafia,Casual,6997,16
HellARK,Rompecabezas,38090,43
HeistHeist,Cooperativo,54715,75
LegendQuest,Rompecabezas,62954,42
DragonRoyale,Casual,53886,60
TaleGalaxy,Cartas,49392,96
RotSpace,Acción,61807,63
CombatPlants,Estrategia,13492,36
DarkRunner,Terror,58162,27
CompanyDying,Aventura,32569,53
SpeedPlague,Estrategia,12806,99
KillingControl,Plataformas,46710,1
MortalKilling,Terror,7858,73
GardenDead,Casual,18330,27
SaintsDark,Aventura,62897,29
TheftDragon,Plataformas,47883,1
BeyondLife,Plataformas,39925,27
LightDead,Disparos,50483,10
EvilLegend,Casual,58223,52
ARKControl,Cartas,40872,75
CounterSpeed,Simulación,65679,64
StrikeStrange,Deportes,39372,50
WarBattle,Multijugador,57489,29
StrangeSaints,Mundo Abierto,30005,57
LifeDead,Estrategia,15861,94
TheftWar,Cartas,55071,86
MafiaCounter,Narración,46406,55
AgeFloor,Multijugador,17995,43
WarriorGalaxy,Plataformas,65019,85
LightRot,Cartas,26585,49
TaleHeist,Cartas,68206,5
HonorDuty,Supervivencia,54945,78
GardenSaints,Estrategia,68657,72
GrandAge,Deportes,54034,76
StrangeMeat,Simulación,65860,1
DragonBrutal,Supervivencia,62938,11
SpeedGalaxy,Casual,11468,82
WarArma,Cooperativo,20312,17
LeftTheft,Multijugador,36778,92
BattleMafia,Exploración,32834,1
DarkHonor,Estrategia,9236,1
SaintsPlants,Simulación,26283,1
RunnerBrutal,Aventura,30104,58
TheftTheft,Supervivencia,60836,12
KillingTheft,Mundo Abierto,69301,68
GalaxyEscape,Simulación,58856,52
HonorCounter,Rompecabezas,69687,2
RowKnights,Exploración,15859,30
HonorLife,Mundo Abierto,13587,86
LegendBattle,Narración,8315,47
LegendsLeft,Comedia,29009,12
QuestARK,Plataformas,53552,25
PlagueHell,Multijugador,57844,79
GardenMeat,Plataformas,44764,36
SpaceBrutal,RPG,39554,29
KillingPlague,Acción,41377,16
BrutalHonor,Casual,66362,20
ThunderEvil,Acción,7756,80
ControlCounter,Simulación,11388,93
WarriorDragon,Rompecabezas,65257,89
WarGrand,Plataformas,65593,92
ControlWar,Multijugador,42177,65
LegendsWarrior,Terror,6825,95
HonorDead,Cooperativo,36139,11
WarriorRot,Casual,39459,66
LegendStrange,Indie,23705,55
StrangeLeft,Mundo Abierto,46772,74
QuestLegend,Deportes,21980,1
CompanyHeist,Cooperativo,24120,96
ARKPlants,Casual,52516,10
CombatGarden,Disparos,45260,46
GrandWarrior,Casual,50116,47
RowCompany,Exploración,2454,64
MafiaAge,RPG,40668,4
RowDuty,Casual,24440,81
DarkMortal,Simulación,57056,53
SaintsDead,Casual,58450,89
ARKKnights,Terror,60774,64
DeadHell,Terror,62825,43
ArmaEmpire,Deportes,54149,84
FloorPlants,Narración,60028,74
